"class","term","week","subject","topic","agegroup","context","generated"
"Jss 2","Summer Term","6","Physical and Health Education","Prevention of Environmental Pollution","11-12","Learning practical measures to prevent and control different types of environmental pollution","false"
"Jss 2","Summer Term","7","Physical and Health Education","Non-Communicable Diseases: Introduction","11-12","Understanding diseases that cannot spread from person to person; their nature and characteristics","false"
"Jss 2","Summer Term","8","Physical and Health Education","Sickle Cell Disease and Anemia","11-12","Learning about genetic blood disorders, symptoms, management, and prevention of sickle cell and anemia","false"
"Jss 2","Summer Term","9","Physical and Health Education","Obesity, Asthma, and Kwashiorkor","11-12","Understanding nutritional and respiratory non-communicable diseases; their causes and prevention","false"
"Jss 2","Summer Term","10","Physical and Health Education","Healthy Lifestyle and Disease Prevention","11-12","Integrating good posture, recreation, safety, and environmental health for overall wellness","false"
"Jss 2","Noel Term","1","Social Studies","General Objectives of Social Studies","11-12","Understanding the goals of social studies: developing adaptability, national consciousness, good citizenship, and right values","false"
"Jss 2","Noel Term","2","Social Studies","Advantages of Living Together as a Family","11-12","Exploring benefits of family living including protection, happiness, unity, education, and maintaining good family reputation","false"
"Jss 2","Noel Term","3","Social Studies","Family Bond and Cohesion","11-12","Understanding strong family ties that recognize and respect individual family members' rights and relationships","false"
"Jss 2","Noel Term","4","Social Studies","Importance of Good Family Reputation","11-12","Learning how good family name earns respect from community members and benefits the entire family","false"
"Jss 2","Noel Term","5","Social Studies","Marriage: Meaning and Purposes","11-12","Understanding marriage as a binding contract; exploring purposes like procreation, economic needs, and mutual love","false"
"Jss 2","Noel Term","6","Social Studies","Conditions for Marriage Readiness","11-12","Examining physiological, psychological, social, and financial readiness required before entering marriage","false"
"Jss 2","Noel Term","7","Social Studies","Effects of Lack of Readiness on Marriage","11-12","Understanding consequences like constant fights, instability, divorce, and broken homes from premature marriage","false"
"Jss 2","Noel Term","8","Social Studies","Types of Group Behaviour","11-12","Identifying mass action, communal labour, protests, marches, and patriotic acts as forms of collective behavior","false"
"Jss 2","Noel Term","9","Social Studies","Characteristics of Group Behaviour","11-12","Distinguishing between destructive/negative and constructive/positive types of collective behavior in society","false"
"Jss 2","Noel Term","10","Social Studies","Benefits of Positive Group Behaviours","11-12","Exploring companionship, survival, security, affiliation, status, power, control, and achievement through positive group actions","false"
"Jss 2","Calvary Term","1","Social Studies","Drug and Substance Abuse: Meaning","11-12","Understanding what constitutes drug abuse and misuse of substances; identifying common forms of abuse","false"
"Jss 2","Calvary Term","2","Social Studies","Forms and Ways of Drug Abuse","11-12","Identifying how people abuse drugs through self-medication, overdose, wrong prescriptions, and substance misuse","false"
"Jss 2","Calvary Term","3","Social Studies","Consequences of Drug Abuse on Individuals","11-12","Examining personal effects of drug abuse including health deterioration, addiction, and behavioral changes","false"
"Jss 2","Calvary Term","4","Social Studies","Consequences of Drug Abuse on Community and Nation","11-12","Understanding societal impact including crime rates, economic burden, and effects on national development","false"
"Jss 2","Calvary Term","5","Social Studies","Role of Quacks in Drug Abuse","11-12","Understanding how unqualified medical practitioners contribute to drug abuse through wrong prescriptions and treatments","false"
"Jss 2","Calvary Term","6","Social Studies","Ways of Discouraging Drug Abuse I","11-12","Learning prevention through choosing good friends, forming drug-free clubs, and peer resistance strategies","false"
"Jss 2","Calvary Term","7","Social Studies","Ways of Discouraging Drug Abuse II","11-12","Developing coping skills: assertiveness, refusal skills, problem-solving, communication, and decision-making abilities","false"
"Jss 2","Calvary Term","8","Social Studies","Constructive Use of Time to Prevent Drug Abuse","11-12","Engaging in positive activities like sports, religious activities, hobbies, and community service to avoid drug abuse","false"
"Jss 2","Calvary Term","9","Social Studies","Drug Trafficking: Meaning and Reasons","11-12","Understanding illegal drug trade and reasons people engage in it including poverty, ignorance, and greed","false"
"Jss 2","Calvary Term","10","Social Studies","Dangers of Drug Trafficking","11-12","Examining consequences: bad national image, imprisonment, death penalty, security threats, and economic impacts","false"
"Jss 2","Summer Term","1","Social Studies","Role of NDLEA and EFCC in Drug Control","11-12","Understanding functions of National Drug Law Enforcement Agency and Economic and Financial Crimes Commission","false"
"Jss 2","Summer Term","2","Social Studies","Rehabilitation and Recovery from Drug Abuse","11-12","Learning about rehabilitation centers, treatment programs, and support systems for drug abuse victims","false"
"Jss 2","Summer Term","3","Social Studies","Building Strong Family Foundations","11-12","Integrating family bonding, good reputation, and proper marriage readiness for stable family structures","false"
"Jss 2","Summer Term","4","Social Studies","Social Values and National Unity","11-12","Connecting social studies objectives to developing national consciousness and unity through shared values","false"
"Jss 2","Summer Term","5","Social Studies","Citizenship and Community Development","11-12","Understanding responsibilities of good citizens in contributing to societal development and progress","false"
"Jss 2","Summer Term","6","Social Studies","Positive Collective Action for Community Progress","11-12","Applying group behavior principles to organize communal labor and development projects in communities","false"
"Jss 2","Summer Term","7","Social Studies","Youth and Social Challenges","11-12","Comprehensive review of challenges facing young people including peer pressure, drug abuse, and negative influences","false"
